charity_name,city,state,zip
INCREDIBLE CREDIBLE MESSENGERS INC,NEW YORK,NY,10023-7419
DRIVE BOSTON COMMUNITY RESOURCES INC,DORCHESTER,MA,02125-2944
MALIK ADAM JAMES FOUNDATION INC,BALDWIN,NY,11510-4444
CHILDREN OF PROMISE NYC,BROOKLYN,NY,11216-2304
JUSTICE AND UNITY FOR THE SOUTHERN TIER,BIBLE SCH PK,NY,13737-0093
LIFE UNBOLTED INC,BROOKLYN,NY,11236-3939
LIBERTY BEHIND BARS MINISTRY INC,BELFAST,NY,14711-0264
FREER RECORDS INC,NEW YORK,NY,10002-2954
SELF-EFFICACY PROJECT,BROOKLYN,NY,11236-3369
ESCAPING TIME,BROOKLYN,NY,11217-2136
BOSTON PROJECT REBOUND REENTRY SERVICES INCORPORATED,DALTON,MA,01226-1003
COMMUNITY RENTRY PROGRAM INC,CAMBRIDGE,MA,02139-1113
PURELEGACEE INC,BROOKLYN,NY,11212-5638
AMERICAN REENTRY INITIATIVE INCORPORATED,HIGHLAND PARK,NJ,08904-2228
MAINE PRISONER RE-ENTRY NETWORK,LEWISTON,ME,04243-7157
STEP OUT,BURLINGTON,VT,05402-8526
BREATHONE TRANSITIONAL AND RE-ENTRY SERVICES,ALBION,NY,14411-9748
YARDTIME ENTERTAINMENT INC,BOSTON,MA,02115-2863
STOP NY1 INC,SAINT ALBANS,NY,11412-2139
GREATER FALLS COMMUNITY JUSTICE CENTER,BELLOWS FALLS,VT,05101-1364
EMPOWERMENT BEFORE DURING AND AFTER INC,BROOKLYN,NY,11212-1531
FINEQUITY INC,BROOKLYN,NY,11201-4802
CLICC INC,NEW HAVEN,CT,06513-3175
PRISONWRITERS,NEW YORK,NY,10002-5472
BUILDING A BETTER WAY FOR TRENTON INC,TRENTON,NJ,08609-1404
PEACE ON THE STREET,NEW YORK,NY,10035-5040
MULBERRY TREE MINISTRIES,FAIRPORT,NY,14450-9736
OZIIOZAA BELIEVER,LINCOLN,RI,02865-4222
COMMISSARY FUND,ROCHESTER,NY,14604-2502
R O S E T T A FOUNDATION INC,NEWARK,NJ,07107-1607
PRISON VISITATION FUND LIMITED,NEW YORK,NY,10022-2708
ELI GLOBAL REFORM FOUNDATION INC,NEW YORK,NY,10022-6609
FAIR PROJECT INC,YARMOUTH PORT,MA,02675-0204
VOICE FOR THE WRONGLY CONVICTED INC,WORCESTER,MA,01609-1318
RENEW REENTRY PROGRAM INC,MORRISTOWN,NJ,07960-6838
TRUTH IN JUSTICE NOW INC,JERICHO,NY,11753-2805
VERMONT FREEDOM FUND INC,HUNTINGTON,VT,05462-9416
PROJECT REWIRE,BRONX,NY,10475-4412
REENTRY & COMMUNITY DEVELOPMENT CENTER INC,ROCHESTER,NY,14605-2576
TRADESMEN SAFETY TRAINING INC,SEAFORD,NY,11783-1903
OPEN SKY INC,LYME,NH,03768-0171
MAINE YOUTH COURT,PORTLAND,ME,04101-2451
RISE PARTNERSHIP INC,NEW YORK,NY,10065-5988
SECOND STREET SECOND CHANCES INC,PITTSFIELD,MA,01201-1820
PATHWAYS 2 FREEDOM,NEW BEDFORD,MA,02740-4019
PRISON BOOKS PROJECT INC,BEACON,NY,12508-3018
ONCE INCARCERATED ANONYMOUS OIA INC,HARTFORD,CT,06112-1837
MYLES AWAY FROM HOME INC,NEW YORK,NY,10027-5905
SET FREE PRISON TEAM INC,QUEENS VLG,NY,11429-1652
G L U E- GOD LOVE UNITES EVERYONE INC,BLACKWOOD,NJ,08012-2575
STEP BEYOND WOMEN AND GIRLS INC,MAHWAH,NJ,07430-3247
THRIVE COMMUNITIES OF MASSACHUSETTS INC,LOWELL,MA,01852-1807
UNCARCERATED INC,ASHBURNHAM,MA,01430-0166
WEALTH BEYOND BARS COALITION,SPRINGFIELD,MA,01129-1153
PRISM REFORM INC,BROOKLYN,NY,11232-2512
GARDEN TIME INC,PROVIDENCE,RI,02906-3514
JUSTLEADERSHIPUSA INC,NEW YORK,NY,10037-0902
HOPE CHOCOLATES,CAMDEN,NJ,08104-1306
JUMP START NATION,BOSTON,MA,02108-2616
REINTEGRATIONWORKS INC,MILFORD,CT,06460-3258
MASSACHUSETTS PAROLE PREPARATION PARTNERSHIP INC,WESTBOROUGH,MA,01581-1160
GUIDED BY PURPOSE REENTRY INITIATIVE INC,HARTFORD,CT,06105-1405
MOVINGPOTENTIAL,HUDSON,NY,12534-2414
NEW YORK STATE CHAPLAIN GROUP INC,NEW YORK,NY,10002-3954
SECOND CHANCE SCHOLARS INC,POTSDAM,NY,13676-2022
MOVING FORWARD FOR MAINE REENTRY SISTERS CORPORATION,PORTLAND,ME,04101-2730
COMMUNITY ASSISTANCE RECOVERY ENHANCEMENT SERVICES,ROCHESTER,NY,14609-5129
PRISON WIVES SOCIETY NY INC,JAMAICA,NY,11434-2629
ROAD SIGNS FOR LIFE,GROTON,CT,06340-8948
JD TO JD FOUNDATION,BRENTWOOD,NY,11717-0000
BEHIND THE CHAIR MINISTRIES INC,POUGHKEEPSIE,NY,12603-2435
ESCUELA CATOLICA DE ESTUDIOS BIBLICOS,MALDEN,MA,02148-5007
ROBIN DANCY CENTER FOR HEALING AND HOPE,NORWALK,CT,06851-1550
A MORE JUST AMERICA EDUCATION FUND,ELMONT,NY,11003-4217
MPM ADVOCACY & TRAINING SERVICES,MARLTON,NJ,08053-3125
PICL,WEST HARTFORD,CT,06107-1742
VOICE OF DA VOICELESS INC,ILION,NY,13357-1136
HIGH POINT FOUNDATION INC,ROCHESTER,NY,14692-2801
TROY LEON HARRIGAN NONPROFIT ORGANIZATION CORP,NEW BEDFORD,MA,02740-4619
NW CT REENTRY CENTER,BANTAM,CT,06750-1318
